Dish Name,Country,Region/City,Ingredients,Description,Cooking Method,Typical Price (USD),Vegetarian
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.32,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.6,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.72,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.64,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.25,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.43,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.07,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.78,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.81,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.97,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.81,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.72,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,4.58,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.61,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,0.95,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.04,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.94,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.12,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.14,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.32,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.67,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.74,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.26,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.88,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.3,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.65,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.86,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.81,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.92,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.75,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.59,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.61,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.54,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.48,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.58,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.82,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.97,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.33,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.02,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.19,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.6,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.3,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.07,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.54,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.74,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.95,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.42,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.31,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.47,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.58,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.73,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.06,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.44,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.05,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.86,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.96,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.58,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.21,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.27,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.77,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.75,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.6,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.89,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.48,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.2,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.03,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.56,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.68,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.11,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.29,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.83,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.08,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.47,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.21,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.45,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.62,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.24,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.87,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.77,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.6,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.08,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.33,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.89,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.06,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.13,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,3.73,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.24,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.48,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.69,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.32,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.19,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.24,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.58,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.29,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.18,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.63,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.83,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.03,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,0.6,No
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.29,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.3,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.27,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.46,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.35,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.21,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.56,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.53,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.88,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.43,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.46,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.22,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.05,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.21,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.98,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.41,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.99,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,3.09,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.69,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.09,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.63,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,0.99,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.54,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,0.62,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.0,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.74,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,4.42,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.6,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.9,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.33,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.05,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,5.0,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.15,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.19,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.85,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.67,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.22,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.49,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.89,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.56,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.87,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,3.8,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.31,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,0.42,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.9,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.33,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,0.51,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.81,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.84,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.74,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.46,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.42,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.62,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.97,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.49,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.06,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,4.57,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.62,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.07,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,0.85,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.75,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.39,Yes
